user_id,variant,assigned_day,pre_margin_kopecks
0,B,0,0
1,A,0,2386
2,A,0,3870
3,B,0,0
4,A,0,3819
5,A,0,0
6,B,0,0
7,B,0,0
8,B,0,1272
9,A,0,1090
10,A,0,3195
11,A,0,4628
12,B,0,0
13,A,0,815
14,A,0,1191
15,A,0,5208
16,B,0,2724
17,B,0,1403
18,B,0,0
19,B,0,6000
20,A,0,3160
21,B,0,1323
22,A,0,0
23,B,0,0
24,B,0,0
25,B,0,0
26,B,0,2364
27,B,0,1110
28,A,0,1000
29,B,0,4965
30,B,0,0
31,A,0,6940
32,A,0,0
33,A,0,2764
34,B,0,2620
35,B,0,1565
36,A,0,5012
37,B,0,0
38,B,0,1936
39,A,0,0
40,B,0,1367
41,A,0,2884
42,B,0,4360
43,B,0,1441
44,B,0,3996
45,A,0,3146
46,A,0,0
47,B,0,1545
48,A,0,0
49,A,0,5505
50,A,0,0
51,A,0,6805
52,A,0,2210
53,A,0,1526
54,B,0,1247
55,A,0,1083
56,A,0,5352
57,B,0,2492
58,A,0,0
59,A,0,0
60,A,0,4641
61,B,0,4788
62,A,0,2930
63,A,0,0
64,B,0,0
65,B,0,11736
66,B,0,4936
67,B,0,7063
68,A,0,1227
69,A,0,1599
70,A,0,0
71,A,0,5208
72,A,0,5145
73,A,0,4240
74,A,0,5204
75,A,0,0
76,A,0,0
77,B,0,7510
78,B,0,2562
79,A,0,2856
80,A,0,0
81,B,0,1079
82,A,0,3764
83,A,0,949
84,A,0,0
85,A,0,6692
86,A,0,16392
87,B,0,0
88,A,0,1127
89,A,0,0
90,A,0,0
91,A,0,3993
92,A,0,2688
93,A,0,0
94,A,0,0
95,B,0,2834
96,B,0,2288
97,A,0,5020
98,A,0,2856
99,B,0,8896
100,A,0,0
101,A,0,0
102,B,0,4143
103,A,0,845
104,A,0,4614
105,A,0,0
106,A,0,2637
107,A,0,0
108,A,0,1300
109,A,0,3075
110,B,0,1360
111,B,0,3952
112,A,0,0
113,B,0,0
114,B,0,1587
115,B,0,3136
116,B,0,1064
117,A,0,0
118,B,0,1286
119,A,0,2988
120,A,0,1485
121,B,0,878
122,B,0,1860
123,B,0,1672
124,A,0,0
125,B,0,1307
126,B,0,1237
127,B,0,972
128,A,0,2520
129,A,0,1600
130,B,0,3249
131,B,0,1586
132,B,0,955
133,A,0,3992
134,A,0,1634
135,B,0,923
136,A,0,6632
137,A,0,1320
138,A,0,2298
139,B,0,3160
140,B,0,5932
141,B,0,6720
142,B,0,1934
143,B,0,0
144,B,0,8750
145,A,0,3891
146,B,0,3124
147,B,0,7326
148,A,0,2088
149,A,0,1476
150,A,0,0
151,B,0,3612
152,A,0,2758
153,A,0,4704
154,B,0,0
155,A,0,4251
156,A,0,1742
157,A,0,4256
158,A,0,2402
159,B,0,2968
160,B,0,0
161,B,0,0
162,B,0,1776
163,A,0,3054
164,A,0,0
165,B,0,0
166,B,0,3012
167,B,0,865
168,A,0,2684
169,B,0,2834
170,A,0,7203
171,B,0,4410
172,A,0,2942
173,B,0,4948
174,B,0,806
175,A,0,0
176,A,0,12008
177,A,0,6465
178,B,0,1340
179,A,0,1114
180,B,0,7903
181,B,0,3999
182,A,0,872
183,B,0,0
184,A,0,1010
185,A,0,2142
186,A,0,4224
187,B,0,3339
188,B,0,4818
189,A,0,0
190,B,0,4552
191,A,0,2782
192,A,0,815
193,B,0,4476
194,A,0,1167
195,A,0,4485
196,A,0,0
197,A,0,916
198,A,0,927
199,B,0,4350
200,A,0,2554
201,A,0,1378
202,B,0,0
203,A,0,4656
204,A,0,1563
205,B,0,1597
206,A,0,889
207,A,0,1372
208,B,0,917
209,B,0,5555
210,B,0,0
211,A,0,0
212,B,0,5030
213,B,0,6930
214,B,0,2202
215,B,0,1150
216,A,0,9312
217,A,0,2568
218,B,0,10752
219,B,0,1786
220,A,0,1377
221,A,0,5608
222,A,0,1169
223,A,0,0
224,B,0,1110
225,A,0,1433
226,A,0,4752
227,B,0,0
228,B,0,1197
229,B,0,0
230,A,0,859
231,A,0,1962
232,A,0,2082
233,B,0,9760
234,B,0,2204
235,A,0,2682
236,A,0,0
237,B,0,3189
238,B,0,9863
239,B,0,1954
240,B,0,0
241,B,0,0
242,A,0,8155
243,B,0,4044
244,A,0,0
245,A,0,4209
246,A,0,6013
247,A,0,4805
248,A,0,0
249,B,0,1884
250,B,0,0
251,B,0,815
252,A,0,0
253,B,0,1481
254,B,0,3672
255,B,0,0
256,B,0,6342
257,B,0,1029
258,A,0,0
259,B,0,0
260,A,0,0
261,A,0,7260
262,B,0,0
263,B,0,0
264,A,0,0
265,A,0,2733
266,A,0,7968
267,A,0,3576
268,A,0,0
269,A,0,1590
270,B,0,3652
271,A,0,5817
272,A,0,4736
273,B,0,1591
274,A,0,954
275,B,0,1033
276,A,0,1287
277,B,0,4796
278,B,0,1730
279,B,0,0
280,A,0,4735
281,A,0,0
282,B,0,1848
283,B,0,4320
284,A,0,2936
285,A,0,1178
286,B,0,2054
287,B,0,1094
288,A,0,1664
289,B,0,3333
290,B,0,1040
291,B,0,0
292,B,0,2376
293,B,0,3927
294,B,0,1469
295,A,0,1537
296,A,0,2433
297,A,0,2670
298,A,0,0
299,B,0,1501
300,B,0,1884
301,B,0,4479
302,B,0,0
303,A,0,7656
