event_id,user_id,day,margin_kopecks,cancelled
0,0,10,1283,0
1,1,9,970,0
2,1,6,817,0
3,1,7,909,0
4,1,4,1174,0
5,2,12,1338,0
6,3,10,1324,0
7,3,0,1269,0
8,4,5,1012,0
9,4,2,936,0
10,4,2,1520,0
11,4,5,1005,0
12,5,8,1068,0
13,5,11,1308,0
14,8,3,1108,0
15,8,11,1125,0
16,9,3,918,0
17,10,12,1244,0
18,10,12,873,0
19,11,4,860,0
20,11,1,1284,0
21,11,3,810,0
22,15,5,1380,0
23,15,2,1114,0
24,15,5,1102,0
25,15,9,1410,0
26,15,1,1227,0
27,15,9,1130,0
28,16,1,1416,0
29,16,9,1142,0
30,16,6,1168,0
31,18,0,1511,0
32,19,8,1180,0
33,19,6,984,0
34,19,3,1014,0
35,20,0,1554,0
36,20,2,1098,0
37,20,10,1257,0
38,20,1,1000,0
39,22,11,1542,0
40,23,6,859,0
41,23,12,944,0
42,26,5,830,0
43,26,7,1544,0
44,27,1,1155,0
45,27,5,1392,0
46,27,13,916,0
47,29,7,1488,0
48,29,11,1543,0
49,29,10,870,0
50,30,12,925,0
51,30,5,1351,0
52,31,12,1412,0
53,32,3,808,0
54,33,12,1283,0
55,33,6,0,1
56,33,4,1571,0
57,34,10,893,0
58,34,12,918,0
59,35,5,1232,0
60,35,9,1028,0
61,35,5,1208,0
62,35,8,1397,0
63,36,9,933,0
64,36,3,897,0
65,36,6,1348,0
66,36,7,1529,0
67,36,7,898,0
68,36,3,820,0
69,38,0,825,0
70,38,4,1278,0
71,38,11,1582,0
72,38,10,1244,0
73,38,7,976,0
74,38,6,1534,0
75,40,9,889,0
76,40,12,1230,0
77,41,2,1031,0
78,41,9,1156,0
79,41,13,1249,0
80,41,2,1334,0
81,41,4,800,0
82,41,13,1017,0
83,41,1,858,0
84,42,12,1499,0
85,44,9,1570,0
86,44,2,1278,0
87,44,13,1537,0
88,44,4,0,1
89,46,0,1206,0
90,47,6,1010,0
91,47,12,1184,0
92,47,9,1304,0
93,48,13,929,0
94,51,7,882,0
95,51,2,1550,0
96,51,1,975,0
97,51,13,1113,0
98,51,13,1594,0
99,52,0,1187,0
100,52,2,938,0
101,52,6,959,0
102,55,10,1416,0
103,55,8,1172,0
104,56,4,1236,0
105,56,9,1466,0
106,57,1,804,0
107,60,9,1294,0
108,60,1,1272,0
109,60,9,1351,0
110,61,10,1587,0
111,62,8,1264,0
112,62,4,998,0
113,62,1,1075,0
114,65,6,828,0
115,65,8,1488,0
116,66,2,1054,0
117,66,0,979,0
118,67,7,1158,0
119,67,9,1105,0
120,67,4,1469,0
121,67,11,1008,0
122,69,5,1320,0
123,69,3,1576,0
124,69,9,0,1
125,69,0,1405,0
126,70,3,1210,0
127,72,11,1029,0
128,72,0,1419,0
129,72,2,840,0
130,72,10,906,0
131,72,9,1108,0
132,73,1,842,0
133,73,13,1163,0
134,73,4,1417,0
135,74,5,1123,0
136,74,5,882,0
137,75,10,1136,0
138,75,7,1153,0
139,76,8,1225,0
140,77,0,1201,0
141,77,9,1442,0
142,77,4,1575,0
143,77,8,1346,0
144,78,9,1295,0
145,80,0,1131,0
146,80,0,1143,0
147,81,10,1282,0
148,81,9,1385,0
149,83,2,1002,0
150,83,3,1321,0
151,85,11,1299,0
152,86,2,1492,0
153,86,11,1419,0
154,86,10,985,0
155,86,8,1425,0
156,86,3,1035,0
157,86,12,1101,0
158,86,10,1547,0
159,87,12,1293,0
160,90,7,947,0
161,90,2,1437,0
162,91,13,1366,0
163,91,1,1560,0
164,91,2,1092,0
165,92,8,903,0
166,93,6,1010,0
167,93,2,1368,0
168,93,7,859,0
169,94,5,1314,0
170,94,4,956,0
171,94,4,1318,0
172,95,3,1383,0
173,95,7,809,0
174,97,8,1005,0
175,97,5,0,1
176,97,6,847,0
177,98,2,1262,0
178,98,4,1103,0
179,98,0,1308,0
180,98,7,1318,0
181,99,9,846,0
182,99,6,1113,0
183,99,5,989,0
184,100,1,859,0
185,100,1,1195,0
186,100,13,1104,0
187,102,1,957,0
188,103,9,1552,0
189,103,7,865,0
190,105,10,1534,0
191,105,10,1256,0
192,105,4,1580,0
193,106,4,1411,0
194,106,8,1032,0
195,107,0,1344,0
196,108,6,1175,0
197,108,12,1232,0
198,109,12,1327,0
199,109,7,995,0
200,109,2,1548,0
201,109,2,831,0
202,109,2,971,0
203,110,11,803,0
204,110,12,1425,0
205,110,7,1056,0
206,110,6,803,0
207,110,0,1365,0
208,110,13,1329,0
209,111,4,0,1
210,111,1,1150,0
211,111,13,1199,0
212,111,8,1311,0
213,111,12,1464,0
214,112,0,1025,0
215,115,7,1274,0
216,115,5,1135,0
217,116,12,1279,0
218,118,11,833,0
219,118,12,1018,0
220,118,12,1212,0
221,118,7,852,0
222,118,3,1234,0
223,118,10,937,0
224,118,7,1515,0
225,119,6,945,0
226,119,7,1455,0
227,120,2,0,1
228,120,8,1093,0
229,121,11,1565,0
230,121,13,886,0
231,122,2,933,0
232,122,0,1259,0
233,123,8,812,0
234,123,8,928,0
235,123,10,926,0
236,124,4,863,0
237,125,9,1216,0
238,125,13,1422,0
239,125,3,1077,0
240,125,3,922,0
241,126,8,1413,0
242,126,11,953,0
243,126,1,1571,0
244,128,5,1455,0
245,128,13,1466,0
246,128,4,1064,0
247,128,2,1116,0
248,129,0,1548,0
249,129,9,1434,0
250,130,5,1415,0
251,130,0,852,0
252,131,4,1008,0
253,131,13,1587,0
254,131,10,1048,0
255,131,10,1342,0
256,132,11,1292,0
257,132,4,873,0
258,132,8,1587,0
259,133,11,1362,0
260,133,13,1399,0
261,133,10,1462,0
262,133,13,1588,0
263,133,13,1015,0
264,133,1,1185,0
265,133,10,932,0
266,134,12,1157,0
267,134,9,1098,0
268,134,12,1374,0
269,135,5,998,0
270,136,5,1029,0
271,136,11,910,0
272,136,12,1154,0
273,136,7,1113,0
274,136,1,1071,0
275,137,4,1123,0
276,139,3,1132,0
277,139,1,0,1
278,139,12,1380,0
279,140,0,1279,0
280,140,6,1266,0
281,140,2,1449,0
282,140,0,824,0
283,141,6,1454,0
284,141,11,1212,0
285,141,7,1262,0
286,141,2,918,0
287,142,3,1136,0
288,142,1,1580,0
289,143,10,0,1
290,144,11,870,0
291,144,4,1195,0
292,144,1,1092,0
293,144,7,1576,0
294,144,9,0,1
295,144,5,1008,0
296,144,0,1305,0
297,144,3,1044,0
298,145,7,920,0
299,145,3,1508,0
300,145,9,1571,0
301,147,1,1141,0
302,147,9,1304,0
303,147,3,835,0
304,147,5,1047,0
305,147,10,1049,0
306,147,10,1157,0
307,148,5,1433,0
308,148,13,1003,0
309,148,7,941,0
310,150,3,1129,0
311,151,9,971,0
312,151,0,1301,0
313,151,10,849,0
314,151,6,1514,0
315,151,3,958,0
316,151,11,906,0
317,152,3,1143,0
