exposure_id,user_id,variant,day
0,1,A,1
1,3,B,2
2,4,A,1
3,5,A,0
4,6,B,2
5,8,B,2
6,9,A,1
7,11,A,1
8,12,B,2
9,13,A,2
10,14,A,2
11,15,A,1
12,17,B,1
13,20,A,0
14,21,B,2
15,22,A,1
16,25,B,1
17,26,B,0
18,27,B,0
19,29,B,1
20,32,A,1
21,33,A,1
22,34,B,1
23,35,B,2
24,36,A,1
25,37,B,1
26,38,B,0
27,40,B,2
28,43,B,1
29,44,B,2
30,45,A,0
31,46,A,2
32,48,A,2
33,49,A,1
34,50,A,0
35,51,A,1
36,55,A,1
37,60,A,0
38,61,B,0
39,62,A,0
40,65,B,1
41,66,B,2
42,67,B,1
43,68,A,2
44,70,A,0
45,71,A,1
46,72,A,0
47,73,A,2
48,74,A,1
49,75,A,1
50,76,A,1
51,77,B,1
52,79,A,2
53,80,A,2
54,81,B,0
55,83,A,2
56,84,A,1
57,85,A,0
58,86,A,1
59,87,B,1
60,89,A,2
61,90,A,2
62,92,A,0
63,95,B,1
64,96,B,0
65,99,B,2
66,100,A,0
67,101,A,2
68,103,A,0
69,104,A,2
70,105,A,2
71,106,A,0
72,107,A,1
73,108,A,0
74,109,A,2
75,111,B,0
76,112,A,1
77,114,B,0
78,116,B,0
79,118,B,2
80,119,A,2
81,120,A,2
82,122,B,1
83,123,B,2
84,124,A,2
85,125,B,1
86,127,B,2
87,128,A,0
88,129,A,2
89,130,B,2
90,131,B,1
91,132,B,0
92,133,A,2
93,134,A,1
94,137,A,0
95,139,B,0
96,141,B,2
97,143,B,1
98,144,B,2
99,145,A,2
100,146,B,1
101,147,B,1
102,149,A,1
103,152,A,2
104,156,A,0
105,157,A,2
106,158,A,2
107,159,B,0
108,160,B,2
109,161,B,0
110,164,A,0
111,166,B,2
112,168,A,0
113,169,B,0
114,170,A,2
115,172,A,1
116,173,B,0
117,174,B,1
118,175,A,0
119,176,A,2
120,177,A,2
121,179,A,2
122,180,B,0
123,181,B,1
124,182,A,0
125,183,B,0
126,186,A,0
127,188,B,1
128,189,A,0
129,190,B,2
130,191,A,1
131,192,A,0
132,193,B,1
133,195,A,2
134,197,A,2
135,200,A,2
136,201,A,1
137,203,A,1
138,204,A,1
139,205,B,1
140,206,A,0
141,209,B,2
142,213,B,0
143,214,B,0
144,217,A,1
145,220,A,1
146,221,A,0
147,222,A,2
148,223,A,2
149,224,B,0
150,225,A,1
151,226,A,1
152,229,B,1
153,230,A,0
154,231,A,1
155,234,B,2
156,235,A,2
157,237,B,1
158,238,B,1
159,239,B,0
160,240,B,2
161,242,A,0
162,244,A,0
163,245,A,1
164,246,A,0
165,249,B,1
166,250,B,1
167,251,B,1
168,253,B,1
169,254,B,0
170,258,A,2
171,260,A,2
172,261,A,0
173,264,A,0
174,265,A,0
175,266,A,0
176,267,A,0
177,269,A,0
178,271,A,2
179,272,A,2
180,274,A,1
181,275,B,2
182,279,B,0
183,280,A,0
184,282,B,2
185,283,B,1
186,284,A,1
187,287,B,2
188,288,A,2
189,289,B,0
190,292,B,1
191,293,B,2
192,294,B,2
193,295,A,0
194,301,B,2
195,303,A,2
196,304,B,2
197,307,B,1
198,309,A,1
199,311,B,1
200,312,B,1
201,313,A,0
202,314,B,2
203,316,A,0
204,318,A,2
205,319,B,2
206,321,B,0
207,323,A,1
208,324,B,2
209,325,A,0
210,328,A,2
211,331,A,2
212,335,B,0
213,337,A,2
214,338,A,0
215,341,B,0
216,343,A,2
217,345,B,1
218,346,B,0
219,348,B,0
220,349,B,1
221,351,A,2
222,352,B,1
223,356,A,2
224,357,B,1
225,358,A,2
226,360,B,0
227,362,A,2
228,363,A,1
229,364,B,1
230,366,A,2
231,368,B,1
232,372,A,1
233,373,A,0
234,376,A,2
235,378,B,2
236,379,A,1
237,381,B,1
238,382,A,0
239,385,A,1
240,387,B,2
241,388,A,0
242,389,B,1
243,391,B,2
244,393,B,1
245,394,A,1
246,395,B,1
247,397,A,0
248,398,B,2
249,399,A,1
250,401,B,1
251,402,B,1
252,403,A,0
253,404,B,2
254,405,A,2
255,406,B,1
256,407,A,1
257,408,A,1
258,410,A,0
259,412,A,0
260,414,B,1
261,415,A,0
262,416,B,2
263,417,B,1
264,418,B,1
265,420,A,2
266,422,B,1
267,423,B,1
268,424,B,0
269,426,A,0
270,430,B,0
271,433,B,2
272,434,B,0
273,435,B,2
274,436,B,2
275,437,A,1
276,438,A,2
277,439,B,2
278,440,A,2
279,441,B,1
280,443,B,1
281,444,B,0
282,445,A,2
283,446,A,2
284,447,B,0
285,449,B,1
286,450,A,2
287,453,A,0
288,454,B,0
289,457,B,0
290,458,B,0
291,459,A,0
292,461,A,1
293,462,B,2
294,465,A,2
295,466,B,1
296,468,A,0
297,469,A,2
298,470,A,1
299,474,A,2
300,476,B,0
301,477,B,1
302,478,A,0
303,480,B,1
304,482,B,2
305,483,A,0
306,484,B,2
307,485,A,2
308,488,B,2
309,490,A,2
310,492,B,1
311,493,A,2
312,494,B,1
313,495,A,0
314,497,B,2
315,498,A,0
316,499,B,0
317,501,A,1
318,502,B,1
319,504,A,2
320,505,B,1
321,506,B,2
322,507,A,2
323,508,A,2
